state_id,district,race_type,filing_date,other
13,3,House,,
13,5,House,,
13,7,House,,
13,8,House,,
13,9,House,,
18,1,House,,
18,3,House,,
19,1,House,,
19,2,House,,
19,3,House,,
19,4,House,,
19,5,House,,
19,6,House,,
20,1,House,,
20,2,House,,
20,3,House,,
20,4,House,,
20,5,House,,
20,6,House,,
21,1,House,,
21,2,House,,
22,1,House,,
22,2,House,,
22,3,House,,
22,4,House,,
22,5,House,,
22,7,House,,
22,8,House,,
23,1,House,,
23,2,House,,
23,4,House,,
23,5,House,,
23,6,House,,
23,7,House,,
23,8,House,,
23,9,House,,
24,1,House,,
24,2,House,,
24,3,House,,
24,4,House,,
24,5,House,,
24,6,House,,
24,7,House,,
24,8,House,,
24,10,House,,
24,12,House,,
24,14,House,,
25,2,House,,
25,3,House,,
25,4,House,,
25,6,House,,
25,7,House,,
25,8,House,,
26,1,House,,
26,2,House,,
26,3,House,,
26,4,House,,
27,1,House,,
27,2,House,,
27,3,House,,
27,4,House,,
27,5,House,,
27,6,House,,
27,7,House,,
27,8,House,,
29,1,House,,
29,2,House,,
29,3,House,,
30,1,House,,
30,2,House,,
31,2,House,,
32,1,House,,
32,3,House,,
32,4,House,,
32,5,House,,
32,6,House,,
32,7,House,,
32,9,House,,
32,10,House,,
32,11,House,,
32,12,House,,
34,1,House,,
34,2,House,,
34,3,House,,
34,4,House,,
34,5,House,,
34,6,House,,
34,7,House,,
34,8,House,,
34,9,House,,
34,10,House,,
34,11,House,,
34,12,House,,
34,13,House,,
34,14,House,,
34,15,House,,
34,16,House,,
34,17,House,,
34,18,House,,
34,19,House,,
34,20,House,,
34,21,House,,
34,22,House,,
34,23,House,,
34,24,House,,
34,25,House,,
34,26,House,,
34,27,House,,
35,1,House,,
35,2,House,,
35,3,House,,
35,4,House,,
35,5,House,,
35,6,House,,
35,7,House,,
35,8,House,,
35,9,House,,
35,10,House,,
35,11,House,,
35,12,House,,
35,13,House,,
13,4,House,,
18,2,House,,
21,,Senate,,
22,6,House,,
22,,Senate,,
23,3,House,,
23,,Senate,,
24,13,House,,
24,11,House,,
24,9,House,,
24,,Senate,,
25,1,House,,
25,,Senate,,
25,,Senate,,
26,,Senate,,
27,,Senate,,
28,,Senate,,
28,,House,,At-Large
29,,Senate,,
30,3,House,,
30,4,House,,
30,,Senate,,
31,1,House,,
32,2,House,,
32,,Senate,,
33,1,House,,
33,2,House,,
33,,Senate,,
34,,Senate,,
36,,Senate,,
37,,Senate,,
37,1,House,,
37,2,House,,
37,3,House,,
37,4,House,,
37,5,House,,
37,6,House,,
37,7,House,,
37,8,House,,
37,9,House,,
37,10,House,,
37,11,House,,
37,13,House,,
37,14,House,,
37,15,House,,
38,1,House,,
38,2,House,,
38,3,House,,
38,4,House,,
38,5,House,,
39,1,House,,
39,2,House,,
39,3,House,,
39,4,House,,
39,5,House,,
40,1,House,,
40,2,House,,
40,3,House,,
40,4,House,,
40,5,House,,
40,6,House,,
40,7,House,,
40,8,House,,
40,9,House,,
40,10,House,,
40,11,House,,
40,12,House,,
40,13,House,,
40,14,House,,
40,16,House,,
40,17,House,,
43,1,House,,
43,2,House,,
43,3,House,,
43,4,House,,
43,5,House,,
43,6,House,,
43,7,House,,
45,8,House,,
45,9,House,,
46,1,House,,
46,4,House,,
46,7,House,,
46,8,House,,
46,9,House,,
46,10,House,,
46,11,House,,
46,12,House,,
46,13,House,,
46,14,House,,
46,15,House,,
46,17,House,,
46,18,House,,
46,19,House,,
46,20,House,,
46,22,House,,
46,23,House,,
46,24,House,,
46,25,House,,
46,26,House,,
46,28,House,,
46,29,House,,
46,30,House,,
46,31,House,,
46,32,House,,
46,33,House,,
46,34,House,,
46,35,House,,
46,36,House,,
47,1,House,,
47,2,House,,
47,4,House,,
49,1,House,,
49,2,House,,
49,3,House,,
49,4,House,,
49,5,House,,
49,7,House,,
49,8,House,,
49,9,House,,
49,10,House,,
49,11,House,,
50,1,House,,
50,10,House,,
50,2,House,,
50,3,House,,
50,4,House,,
50,5,House,,
50,6,House,,
50,7,House,,
50,8,House,,
52,1,House,,
52,2,House,,
52,3,House,,
52,4,House,,
52,5,House,,
