First Name,Last Name,State
Valdez Val,Demings,FL
Kimberly,Walker,FL
Kathy,Castor,FL
Christine,Quinn,FL
Loretta,Miller,FL
April June,Freeman,FL
Pam,Keith,FL
Lauren,Baer,FL
Lois,Frankel,FL
Carla,Spalding,FL
Debbie,Wasserman Schultz,FL
Frederica,Wilson,FL
Aline Irene,Valdes,FL
Debbie,Mucarsel-Powerll,FL
Kristen,Gonzalez,FL
Raquel,Regalado,FL
Gina,Susa-Suarez,FL
Mary,Barzee Flores,FL
Bettina,Rodriguez-Aguilera,FL
Barbara A.,Seidman,GA
Lisa M.,Ring,GA
Karen,Handel,GA
Melissa,Davis,GA
Carolyn,Bourdeaux,GA
Kathleen,Allen,GA
Chalis Pomeroy,Montgomery,GA
Kellie,Collins,GA
Elizabeth,Webster,GA
Mary,West,GA
Mazie,Hirono,HI
Colleen,Hanabusa,HI
Tulsi,Gabbard,HI
Christy,Perry,ID
Robin,Kelly,IL
Marie,Newman,IL
Sameena,Mustafa,IL
Amanda,Howland,IL
Carole,Cheney,IL
Jennifer,Zordani,IL
Becky,Wilkins,IL
Kelly,Mazeski,IL
Joan,Lasonde,IL
Jan,Shakowski,IL
Betsy,Londrigan,IL
Lauren,Underwood,IL
Sara,Dady,IL
Murri,Briel,IL
Cheri,Bustos,IL
Jackie,Walorski Swihart,IN
Courtney,Tritch,IN
Sheryl,Shipley,IN
Tobi,Beck,IN
Susan,Brooks,IN
Liz,Watson,IN
Abby,Finkenauer,IA
Courtney,Rowe,IA
Cindy,Axne,IA
Theresa,Greenfield,IA
Heather,Ryan,IA
Leann,Jacobsen,IA
Caryn,Tyson,KS
Andrea,Ramsey,KS
Amy,McGrath,KY
Chellie,Pingree,ME
Tiffany,Bond,ME
Allison,Galbraith,MD
Thereasa,Black,MD
Aruna,Miller,MD
Nadia,Hashimi,MD
Lisa,Lloyd,MD
Elizabeth,Warren,MA
Heidi,Wellman,MA
Beth,Lindstrom,MA
Lori,Trahan,MA
Juana,Matias,MA
Katherine,Clark,MA
Brianna,Wu,MA
Debbie,Stabenow,MI
Anita,Belle,MI
Catherine,Albro,MI
Eponine Elizabeth,Garrod,MI
Gretchen,Driskell,MI
Darlene,Domanik,MI
Elissa,Slotkin,MI
Candius,Stearns,MI
Haley,Stevens,MI
Fayrouz,Saad,MI
Debbie,Dingell,MI
Brenda,Lawrence,MI
Amy,Klobuchar,MN
Vicki,Jensen,MN
Carla Jean,Nelson,MN
Angela Dawn,Craig,MN
Alicia,Donahue,MN
Betty,McCollum,MN
Claire,McCaskill,MO
Angelica,Earl,MO
Susan,Bolhafner,MO
Cori,Bush,MO
Kellin,Dunaway,MO
Ann,Wagner,MO
Suzanne Renee,Hoagenson,MO
Jenna Marie,Bourgeois,MO
Vicky,Hartzler,MO
Kathryn Gail,Ellis,MO
Sarah Alexis,Dean,MT
Debra,Fischer,NE
Jane Michele,Raybould,NE
Jessica,McClure,NE
Jacky,Rosen,NV
Sarah,Galaza,NV
Dina,Titus,NV
Sharron,Angle,NV
Susie,Lee,NV
Victoria,Seaman,NV
Lynda,Tache,NV
Amy,Vilela,NV
Ann McLane,Kluster,NH
Tanzie,Youngblood,NJ
Katherine,Hartman,NJ
Lindsay Christine,Brown,NJ
Linda,Weber,NJ
Lisa,Mandelblatt,NJ
