Unique ID ,Last Name,First Name,Full Candidate Name,Party
,Wellman,Heidi,Heidi Wellman,Republican
,Lindstrom,Beth,Beth Lindstrom,Republican
,Trahan,Lori,Lori Trahan,Democrat
,Matias,Juana,Juana Matias,Democrat
,Clark,Katherine,Katherine Clark-Incumbent,Democrat
,Wu,Brianna,Brianna Wu,Democrat
,Stabenow,Debbie,Debbie Stabenow-Incumbent,Democrat
,Belle,Anita,Anita E. Belle,Green
,Albro,Catherine,Catherine Albro,Democrat
,Garrod,Eponine Elizabeth,Eponine Elizabeth Garrod,Democrat
,Driskell,Gretchen,Gretchen Driskell,Democrat
,Domanik,Darlene,Darlene M. Domanik,Democrat
,Slotkin,Elissa,Elissa Slotkin,Democrat
,Stearns,Candius,Candius Stearns,Republican
,Stevens,Haley,Haley Stevens,Democrat
,Saad,Fayrouz,Fayrouz Saad,Democrat
,Dingell,Debbie,Debbie Dingell-Incumbent,Democrat
,Lawrence,Brenda,Brenda Lawrence-Incumbent,Democrat
,Klobuchar,Amy,Amy Klobuchar-Incumbent,Democrat
,Jensen,Vicki,Vicki Jensen,Democrat
,Nelson,Carla Jean,Carla Jean Nelson,Republican
,Craig,Angela Dawn,Angela Dawn Craig,Democrat
,Donahue,Alicia,Alicia Donahue,Democrat
,McCollum,Betty,Betty McCollum-Incumbent,Democrat
,McCaskill,Claire,Claire McCaskill-Incumbent,Democrat
,Earl,Angelica,Angelica Earl,Democrat
,Bolhafner,Susan,Susan Bolhafner,Democrat
,Bush,Cori,Cori Bush,Democrat
,Dunaway,Kellin,Kellin Lynn Dunaway (Inactive),Democrat
,Wagner,Ann,Ann Wagner-Incumbent,Republican
,Hoagenson,Suzanne Renee,Renee Hoagenson,Democrat
,Bourgeois,Jenna Marie,Jenna Marie Bourgeois,Republican
,Hartzler,Vicky,Vicky Hartzler-Incumbent,Republican
,Ellis,Kathryn Gail,Kathy Ellis,Democrat
,Dean,Sarah Alexis,Sarah Alexis Dean,Democrat
,Fischer,Debra,Debra S. Fischer-Incumbent,Democrat
,Raybould,Jane Michele,Jane Michele Raybould,Democrat
,McClure,Jessica,Jessica McClure,Democrat
,Rosen,Jacky,Jacky Rosen,Democrat
,Galaza,Sarah,Sarah Gazala,Republican
,Titus,Dina,Dina Titus-Incumbent,Democrat
,Angle,Sharron,Sharron E. Angle,Republican
,Lee,Susie,Susie Lee,Democrat
,Seaman,Victoria,Victoria Seaman,Republican
,Tache,Lynda,Lynda Tache,Republican
,Vilela,Amy,Amy Vilela,Democrat
,Kluster,Ann McLane,Ann McLane Kuster-Incumbent,Democrat
,Youngblood,Tanzie,Tanzie Youngblood,Democrat
,Brown,Lindsay Christine,Lindsay Christine Brown,Republican
,Weber,Linda,Linda Weber,Democrat
,Mandelblatt,Lisa,Lisa Mandelblatt,Democrat
,Harris,Tamara,Tamara Harris,Democrat
,Sherrill,Rebecca Michelle,Rebecca Michelle Sherrill,Democrat
,Watson Coleman,Bonnie,Bonnie Watson Coleman-Incumbent,Democrat
,Chavez,Ann,Ann E. Chavez,Democrat
,Haaland,Debra,Debra Haaland,Democrat
,Sedillo Lopez,Antoinette,Antoinette Sedillo Lopez,Democrat
,Jones,Janice,Janice Arnold-Jones,Republican
,Hildebrandt,Lori,Lori Hildebrandt,Democrat
,Herrell,Stella,Stella Y. Herrell,Republican
,Gillibrand,Kirsten,Kirsten Gillibrand-Incumbent,Democrat
,DiMasi,Elaine,Elaine DiMasi,Democrat
,Rice,Kathleen,Kathleen Rice-Incumbent,Democrat
,Meng,Grace,Grace Meng-Incumbent,Democrat
,Velazquez,Nydia,Nydia Velazquez-Incumbent,Democrat
,Clarke,Yvette,Yvette Clarke-Incumbent,Democrat
,Maloney,Carolyn,Carolyn B. Maloney,Democrat
,Ocasio-Cortez,Alexandria,Alexandria Ocasio-Cortez,Democrat
,Lowey,Nita,Nita Lowey-Incumbent,Democrat
,Sullivan,Sue,Sue Sullivan,Democrat
,Wilson,Katie,Katie Wilson,Democrat
,Martz,Emily,Emily Martz,Democrat
,Cobb,Tedra Lynne,Tedra Lynne Cobb,Democrat
,Stefanik,Elise,Elise Stefanik-Incumbent,Republican
,Tenney,Claudia,Claudia Tenney-Incumbent,Republican
,Balter,Dana,Dana Balter,Democrat
,Messenger,Anne,Anne Messenger,Democrat
,Slaughter,Louise,Louise Slaughter-Incumbent,Democrat
,May,Wendy Ella,Wendy Ella May,Democrat
,Brian,Lee Andrea,Lee Andrea Brian,Republican
,Foxx,Virginia Ann,Virginia Foxx-Incumbent,Republican
,Marshall,Jennifer,Jennifer Marshall,Democrat
,Adams,Denice Darcel,Denise D. Adams,Democrat
,Horney,Margot,Margot Horney,Democrat
,Horton,Lauren Kyle,Lauren Kyle Horton,Democrat
,Warren,Maria Collins,Maria C. Warren,Democrat
,Adams,Alma Shealey,Alma Adams-Incumbent,Democrat
,Heitkamp,Heidi,Heidi Heitkamp-Incumbent,Democrat
,Weaver,Laura Ann,Laura Ann Weaver,Democrat
,Everhard,Janet,Janet Everhard,Democrat
,Beatty,Joyce,Joyce Beatty-Incumbent,Democrat
,Kaptur,Marcy,Marcy Kaptur-Incumbent,Democrat
,Fudge,Marcia,Marcia Fudge-Incumbent,Democrat
,Rader,Elizabeth,Betsy Rader,Democrat
,Hagan,Christina,Christina Hagan,Republican
,Horn,Kendra,Kendra Horn,Democrat
,Bonamici,Suzanne,Suzanne Bonamici-Incumbent,Democrat
,McLeod-Skinner,Jamie,Jamie Mcleod-Skinner,Democrat
,Perkins,JoRae,Jo Rae Perkins,Republican
,Ayers,Cynthia Ellen,Cynthia Ellen Ayers,Republican
,Corbin-Johnson,Shavonnia,Shavonnia Corbin-Johnson,Democrat
,Houlahan,Chrissy,Chrissy Houlahan,Democrat
,Sheehan,Molly,Molly Sheehan,Democrat
,Reddick,Rachel,Rachel Reddick,Democrat
,Mihalek,Valerie,Valerie L. Mihalek,Republican
,Herschel,Judith,Judith Herschel,Democrat
,Tarasi,Elizabeth,Elizabeth M. Tarasi,Democrat
,Hartman,Christina,Christina Hartman,Democrat
,King,Jessica,Jessica King,Democrat
,Ward,Kim,Kim Ward,Republican
,Iovino,Pamela,Pamela M. Iovino,Democrat
,Arrington,Katherine,Katherine E. Arrington,Republican
,Geren,Mary,Mary Geren,Democrat
,Few,Sheri,Sheri Lou Few,Republican
,Frank,Alexis,Alexis Frank,Democrat
,Krebs,Shantel,Shantel Krebs,Republican
,Blackburn,Marsha,Marsha Blackburn,Republican
,Hoyos,Renee,Renee Hoyos,Democrat
,Mitchell,Danielle,Danielle Mitchell,Democrat
,Phillips,Mariah,Mariah Phillips,Democrat
,Hernandez,Irasema,Irasema Ramirez Hernandez,Democrat
,Miller,Mary Ann,Mary Ann Miller,Republican
,McKellar,Shirley,Shirley J. McKellar,Democrat
,Wall,Kathaleen,Kathaleen Wall,Republican
,Malik,Silky,Silky Malik,Democrat
,Burch,Lorie,Lorie Louis Burch,Democrat
,Krantz,Catherine,Catherine Krantz,Democrat
,Pounds,Bunni,Bunnie Pounds,Republican
,Sanchez,Jana,Jana L. Sanchez,Democrat
,Woolridge,Ruby Faye,Ruby Faye Woolridge,Democrat
,Kerner,Debra,Debra Kerner,Democrat
,Fletcher,Elizabeth,Elizabeth Pannill Fletcher,Democrat
,Moser,Laura,Laura Moser,Democrat
,Walker,Tami L.,Tami Leane Walker,Democrat
,Leeder,Virginia,Virginia Louise Leeder,Democrat
,Granger,Kay,Kay Granger-Incumbent,Republican
,Adia,Vanessa,Vanessa M. Adia,Democrat
,Bell,Adrienne,Adrienne Bell,Democrat
